success,rt,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,task,imgs
"""",null,html-keyboard-response,30,248179,0.0-6.0-0.3,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",+,null,"""",""""
"""",6840,html-button-response,31,255021,0.0-6.0-1.3,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",<img src='pmj-12.png'>\n                              <p class='attract'>该异性对您来说吸引力评分是</p>\n                              <p class='tips'>(1代表吸引力非常小，9代表吸引力非常大)</p>,3,pre_test,pmj-12.png
"""",1927,instructions,32,256949,0.0-6.0-2.3,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","[{""page_index"":0,""viewing_time"":1927}]","""","""",闺蜜,""""
"""",2487,html-button-response,33,259437,0.0-6.0-3.3,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",<p class='attract'>以下有两个圆圈，一个代表你自己，一个代表刚刚你想象中的她，重叠部分代表你们的亲密程度，\n                              重叠部分越大代表你们之间越亲密，请选择以下哪个可以代表你们之间的亲密度</p>\n                              <img src='distance.png' width=85%>,3,distance,""""
"""",3943,instructions,34,263381,0.0-6.0-4.3,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","[{""page_index"":0,""viewing_time"":3943}]","""","""","""",""""
"""",2863,html-button-response,35,266245,0.0-6.0-5.3,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",<img src='pmj-12.png'>\n                          <p class='attract'>该异性对您来说吸引力评分是</p>\n                          <p class='tips'>(1代表吸引力非常小，9代表吸引力非常大)</p>,2,post_test,pmj-12.png
"""",null,html-keyboard-response,36,266749,0.0-6.0-0.4,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",+,null,"""",""""
"""",2599,html-button-response,37,269349,0.0-6.0-1.4,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",<img src='lma-1.jpg'>\n                              <p class='attract'>该异性对您来说吸引力评分是</p>\n                              <p class='tips'>(1代表吸引力非常小，9代表吸引力非常大)</p>,0,pre_test,lma-1.jpg
"""",1479,instructions,38,270829,0.0-6.0-2.4,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","[{""page_index"":0,""viewing_time"":1479}]","""","""",闺蜜,""""
"""",5022,html-button-response,39,275853,0.0-6.0-3.4,135,1,2023/12/21 8:34,88e23e57077159ed4f24370af8da4c16,223.104.160.72,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",WebKit,Edge,120.0.0.0,Windows,10,null,"zh-CN,zh;q=0.9,en;q=0.8,en-GB;q=0.7,en-US;q=0.6","""","""","""","""","""","""",<p class='attract'>以下有两个圆圈，一个代表你自己，一个代表刚刚你想象中的她，重叠部分代表你们的亲密程度，\n                              重叠部分越大代表你们之间越亲密，请选择以下哪个可以代表你们之间的亲密度</p>\n                              <img src='distance.png' width=85%>,3,distance,""""
